1,1,2,,以下哪个是 Java 的关键字？,0,function¦class¦static¦define,3,static 是关键字
2,2,1,,2 + 2 = ?,0,3¦4¦5¦22,2,2+2=4
3,1,1,,示例题：1,0,A¦B¦C¦D,3,示例解析
4,1,1,,示例题：2,0,A¦B¦C¦D,4,示例解析
5,1,1,,示例题：3,0,A¦B¦C¦D,1,示例解析
6,1,1,,示例题：4,0,A¦B¦C¦D,2,示例解析
7,1,1,,示例题：5,0,A¦B¦C¦D,3,示例解析
8,1,1,,示例题：6,0,A¦B¦C¦D,4,示例解析
9,1,1,,示例题：7,0,A¦B¦C¦D,1,示例解析
10,1,1,,示例题：8,0,A¦B¦C¦D,2,示例解析
11,1,1,,示例题：9,0,A¦B¦C¦D,3,示例解析
12,1,1,示例题源,示例题：10！！！！,0,A¦B¦C¦D,4,示例解析,示例关键词
13,4,5,无,115宿舍最sb的中国人是,1,二狗子¦Adonis¦白恙¦Scar1et,3,理性分析先排除a，因为a是狗，题目问的是人\n其次排除BD，因为题目问的是中国人，BD是外国人\n故本题选C,115
14,3,4,无,下面四个中最强的近卫干员是,0,银灰¦新约能天使¦维什戴尔¦荒芜拉普兰德,1,近卫干员只有银灰，故选A,职业
15,5,3,,选项中哪个中国人写的代码bug最多,0,白¦白恙¦be young¦be-young,2,BBBBBBBBBBBB,
16,5,1,,Adonis生日快乐！2025.12.23,0,选A¦A¦A¦A,1,Adonis生日快乐！2025.12.23,
